Design Code,Design Name,GenderTag,DesignCategory,height_mm,width_mm,size_prompt_note,ItemCategory,sellingPrice,Image link,Link,designPageURL,design_sizes,seo_image_path_hint
BIEK1005V227,The Winkoo Kids Evil Eye Bracelet,Kids,Kids Bracelets,8,8,face_height_mm=8.0; face_width_mm=8.0,Gemstone Studded,"15,450.00","https://kinclimg0.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIEK1005V227_YAA14GEEYXXXXXXXX_ABCD00-PICS-00000-1024-119353.png",https://www.bluestone.com/kids+bracelets/the-winkoo-kids-evil-eye-bracelet~181193.html,https://www.bluestone.com/kids+bracelets/the-winkoo-kids-evil-eye-bracelet~181193.html,,ProductImages/seo images/Kids Bracelets/The Winkoo Kids Evil Eye Bracelet.png
BIHM1002V07,The Protector Evil Eye Rakhi,Male,Adjustable Bracelets,9.8,10.21,face_height_mm=9.8; face_width_mm=10.21,Plain Gold,"8,863.00","https://kinclimg4.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIHM1002V07_YAA14XXXXXXXXXXXX_ABCD00-PICS-00000-1024-80608.png",https://www.bluestone.com/adjustable+bracelets/the-protector-evil-eye-rakhi~114521.html,https://www.bluestone.com/adjustable+bracelets/the-protector-evil-eye-rakhi~114521.html,,ProductImages/seo images/Adjustable Bracelets/The Protector Evil Eye Rakhi.png
BIHS1145P21,The Valeria Rose Pendant,Female,Pendants,21,15.1,face_height_mm=21.0; face_width_mm=15.1,Diamond Studded,"67,976.00","https://kinclimg2.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIHS1145P21_RAA18DIG6XXXXXXXX_ABCD00-PICS-00004-1024-119073.png",https://www.bluestone.com/pendants/the-valeria-rose-pendant~181266.html,https://www.bluestone.com/pendants/the-valeria-rose-pendant~181266.html,,ProductImages/seo images/Pendants/The Valeria Rose Pendant.png
BIIP0090R24,The Ebony Ring,Female,Rings,20.56,18.35,face_height_mm=20.56; face_width_mm=18.35,Diamond Studded,"140,159.00","https://kinclimg9.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIIP0090R24_RAA18DIG6XXXXXXXX_ABCD00-PICS-00001-1024-80790.png",https://www.bluestone.com/rings/the-ebony-ring~9686.html,https://www.bluestone.com/rings/the-ebony-ring~9686.html,,ProductImages/seo images/Rings/The Ebony Ring.png
BIIP0279S08,The Aleena Huggie Earrings,Female,Earrings,17.23,9.5,face_height_mm=17.23; face_width_mm=9.5,Diamond Studded,"111,547.00","https://kinclimg7.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIIP0279S08_RAA18DIG6SYRUXXXX_ABCD00-PICS-00004-1024-79495.png",https://www.bluestone.com/earrings/the-aleena-huggie-earrings~16735.html,https://www.bluestone.com/earrings/the-aleena-huggie-earrings~16735.html,,ProductImages/seo images/Earrings/The Aleena Huggie Earrings.png
BIIP0427H16,The Vicky Hoop Earrings,Female,Earrings,14.75,6.04,face_height_mm=14.75; face_width_mm=6.04,Diamond Studded,"101,570.00","https://kinclimg4.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIIP0427H16_YAA18DIG6XXXXXXXX_ABCD00-PICS-00004-1024-76610.png",https://www.bluestone.com/earrings/the-vicky-hoop-earrings~35071.html,https://www.bluestone.com/earrings/the-vicky-hoop-earrings~35071.html,,ProductImages/seo images/Earrings/The Vicky Hoop Earrings.png
BIIP0550P16,The Aagarna Pendant,Female,Pendants,20.31,13.41,face_height_mm=20.31; face_width_mm=13.41,Diamond Studded,"28,113.00","https://kinclimg8.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIIP0550P16_YAA14DIG6SYEMXXXX_ABCD00-PICS-00004-1024-42508.png",https://www.bluestone.com/pendants/the-aagarna-pendant~54965.html,https://www.bluestone.com/pendants/the-aagarna-pendant~54965.html,,ProductImages/seo images/Pendants/The Aagarna Pendant.png
BIJP0686H03,The Faliha Purse Hoop Earrings,Female,Earrings,13.86,13.12,face_height_mm=13.86; face_width_mm=13.12,Diamond Studded,"105,475.00","https://kinclimg9.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIJP0686H03_YAA18DIG4XXXXXXXX_ABCD00-PICS-00004-1024-84306.png",https://www.bluestone.com/earrings/the-faliha-purse-hoop-earrings~73262.html,https://www.bluestone.com/earrings/the-faliha-purse-hoop-earrings~73262.html,,ProductImages/seo images/Earrings/The Faliha Purse Hoop Earrings.png
BIJP0992R60,The Yuthika Highway Ring,Female,Rings,22.62,15.07,face_height_mm=22.62; face_width_mm=15.07,Diamond Studded,"217,803.00","https://kinclimg3.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIJP0992R60_WAA18DIG6XXXXXXXX_ABCD00-PICS-00001-1024-93003.png",https://www.bluestone.com/rings/the-yuthika-highway-ring~131078.html,https://www.bluestone.com/rings/the-yuthika-highway-ring~131078.html,,ProductImages/seo images/Rings/The Yuthika Highway Ring.png
BIJP0993R123,The Viperine Twist Ring,Female,Rings,22.21,9.68,face_height_mm=22.21; face_width_mm=9.68,Plain Gold,"68,296.00","https://kinclimg9.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIJP0993R123_YAA18XXXXXXXXXXXX_ABCD00-PICS-00001-1024-95211.png",https://www.bluestone.com/rings/the-viperine-twist-ring~124507.html,https://www.bluestone.com/rings/the-viperine-twist-ring~124507.html,,ProductImages/seo images/Rings/The Viperine Twist Ring.png
