Design Code,Design Name,Image link,Image,ItemCategory,sellingPrice,DesignCategory,Link
BISA0255D05,The Asya Huggie Earrings,"https://kinclimg5.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISA0255D05_YAA14DIG6PRWHXXXX_ABCD00-PICS-00004-1024-80521.png",,Diamond Studded,"42,066.00",Earrings,https://www.bluestone.com/earrings/the-asya-huggie-earrings~13494.html
BINS0639R11,The Haily Ring,"https://kinclimg0.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BINS0639R11_YAA22XXXXXXXXXXXX_ABCD00-PICS-00001-1024-65665.png",,Plain Gold,"115,012.00",Rings,https://www.bluestone.com/rings/the-haily-ring~64366.html
BIAR0097R07,The Liza ring,"https://kinclimg3.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIAR0097R07_YAA18DIG4XXXXXXXX_ABCD00-PICS-00001-1024-64632.png",,Diamond Studded,"82,528.00",Rings,https://www.bluestone.com/rings/the-liza-ring~7623.html
BIAR0097R16,The Quinn Ring,"https://kinclimg7.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIAR0097R16_YAA18DIG6XXXXXXXX_ABCD00-PICS-00001-1024-66184.png",,Diamond Studded,"108,992.00",Rings,https://www.bluestone.com/rings/the-quinn-ring~57845.html
BIAR0097R04,The Anya Ring,"https://kinclimg1.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIAR0097R04_YAA18DIG6XXXXXXXX_ABCD00-PICS-00001-1024-71145.png",,Diamond Studded,"57,236.00",Rings,https://www.bluestone.com/rings/the-anya-ring~7515.html
BIJP0992R60,The Yuthika Highway Ring,"https://kinclimg3.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIJP0992R60_WAA18DIG6XXXXXXXX_ABCD00-PICS-00001-1024-93003.png",,Diamond Studded,"217,803.00",Rings,https://www.bluestone.com/rings/the-yuthika-highway-ring~131078.html
BINS0639R18,The Gigi Ring,"https://kinclimg4.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BINS0639R18_YAA18DIG6XXXXXXXX_ABCD00-PICS-00001-1024-71114.png",,Diamond Studded,"172,687.00",Rings,https://www.bluestone.com/rings/the-gigi-ring~64382.html
BIAB0503R03,The Rafia Ring,"https://kinclimg5.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIAB0503R03_YAA18DIG6XXXXXXXX_ABCD00-PICS-00001-1024-42032.png",,Diamond Studded,"69,246.00",Rings,https://www.bluestone.com/rings/the-rafia-ring~53638.html
BIJP0993R123,The Viperine Twist Ring,"https://kinclimg9.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIJP0993R123_YAA18XXXXXXXXXXXX_ABCD00-PICS-00001-1024-95211.png",,Plain Gold,"68,296.00",Rings,https://www.bluestone.com/rings/the-viperine-twist-ring~124507.html
BISE0932R181,The Le Sommet Ring,"https://kinclimg4.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISE0932R181_RAA18DIG6XXXXXXXX_ABCD00-PICS-00001-1024-75825.png",,Diamond Studded,"119,117.00",Rings,https://www.bluestone.com/rings/the-le-sommet-ring~105031.html
