design_name,design_code,DesignCategory,GenderTag,height,width,designPageURL,design_sizes
The Malocchio Charm Holder Bracelet,BIAV0865V25,Bracelets,Female,177.8,6.36,https://www.bluestone.com/bracelets/the-malocchio-charm-holder-bracelet~95653.html,
The Jasper Band For Him,BISL0851R28,Rings,Male,24.11,11.92,https://www.bluestone.com/rings/the-jasper-band-for-him~93964.html,
The Casma Mangalsutra,BIMA0780C53,Mangalsutra Chains,Female,14.13,15.18,https://www.bluestone.com/mangalsutra+chains/the-casma-mangalsutra~93030.html,
The Yfel Evil Eye Pendant Necklace,BISL0819N09,Necklaces,Female,28.5,,https://www.bluestone.com/necklaces/the-yfel-evil-eye-pendant-necklace~89724.html,
The Pear Evil Eye Toggle Bangle,BISL0804O13,Bangles,Female,57.18,9.57,https://www.bluestone.com/bangles/the-pear-evil-eye-toggle-bangle~87037.html,
The Ixea Evil Eye Pendant,BIPO0783P11,Pendants,Female,11.74,11.74,https://www.bluestone.com/pendants/the-ixea-evil-eye-pendant~82777.html,
The Melene Evil Eye Pendant,BIPO0783P12,Pendants,Female,8.18,13.12,https://www.bluestone.com/pendants/the-melene-evil-eye-pendant~82769.html,
The Yosni Mangalsutra,BIMA0780C29,Mangalsutra Chains,Female,166,128,https://www.bluestone.com/mangalsutra+chains/the-yosni-mangalsutra~81520.html,
The Ensy Evil Eye Watch Charm,BIPO0770U26,Watch Accessory,Unisex,6,11.4,https://www.bluestone.com/watch+accessory/the-ensy-evil-eye-watch-charm~79539.html,
The Kricia Charm Bracelet,BIPO0730V39,Bracelets,Female,165.1,12.5,https://www.bluestone.com/bracelets/the-kricia-charm-bracelet~75605.html,
The Faliha Purse Hoop Earrings,BIJP0686H03,Earrings,Female,13.86,13.12,https://www.bluestone.com/earrings/the-faliha-purse-hoop-earrings~73262.html,
The Gigi Ring,BINS0639R18,Rings,Female,23,16.12,https://www.bluestone.com/rings/the-gigi-ring~64382.html,
The Haily Ring,BINS0639R11,Rings,Female,21.96,14.64,https://www.bluestone.com/rings/the-haily-ring~64366.html,
The Shining Star Bracelet,BIMG0635V45,Bracelets,Female,9.5,152.4,https://www.bluestone.com/bracelets/the-shining-star-bracelet~63731.html,
The Quinn Ring,BIAR0097R16,Rings,Female,21.6,7.84,https://www.bluestone.com/rings/the-quinn-ring~57845.html,
The Aagarna Pendant,BIIP0550P16,Pendants,Female,20.31,13.41,https://www.bluestone.com/pendants/the-aagarna-pendant~54965.html,
The Rafia Ring,BIAB0503R03,Rings,Female,20.92,9.23,https://www.bluestone.com/rings/the-rafia-ring~53638.html,
The Eirini Mangalsutra,BISP0514C09,Mangalsutra Chains,Female,189,177,https://www.bluestone.com/mangalsutra+chains/the-eirini-mangalsutra~53179.html,
The Aarabhi Mangalsutra,BISP0506C05,Mangalsutra Chains,Female,233,177,https://www.bluestone.com/mangalsutra+chains/the-aarabhi-mangalsutra~46940.html,
The Vicky Hoop Earrings,BIIP0427H16,Earrings,Female,14.75,6.04,https://www.bluestone.com/earrings/the-vicky-hoop-earrings~35071.html,
The Ursa Hoop Earrings,BISP0427H21,Earrings,Female,16.14,10.07,https://www.bluestone.com/earrings/the-ursa-hoop-earrings~35069.html,
The Estrella Oval Bangle,BIDG0393O37,Bangles,Female,50.19,7.1,https://www.bluestone.com/bangles/the-estrella-oval-bangle~34771.html,
The Tarentella Oval Bangle,BENS0325O09,Bangles,Female,60.62,12.9,https://www.bluestone.com/bangles/the-tarentella-oval-bangle~31547.html,
